37.3995829857,-122.110309914
37.3995829857,-122.110309914
37.3996262429,-122.110390957
37.3996262429,-122.110390957
37.3996695,-122.110472
37.3996695,-122.110472
37.4130292125,-122.125334888
37.4130292125,-122.125334888
37.413102875,-122.125394725
37.413102875,-122.125394725
37.3994372,-122.1103448
37.3994372,-122.1103448
37.3993667,-122.1099047
37.3993667,-122.1099047
37.3993109,-122.10995275
37.3993109,-122.10995275
37.3993667,-122.1099047
37.3993667,-122.1099047
37.38416708,-122.08053484
37.38416708,-122.08053484
37.38421064,-122.08062112
37.4145574268,-122.093508871
37.399573775,-122.1106028
37.399573775,-122.1106028
37.39952825,-122.1105168
37.39952825,-122.1105168
37.38404408,-122.0804744
37.3733185333,-122.087806467
37.3733230667,-122.087734933
37.39948694,-122.10978878
37.39948694,-122.10978878
37.39942682,-122.10984674
37.39942682,-122.10984674
37.3943645,-122.0774031
37.3943645,-122.0774031
37.4145515,-122.0934114
37.4145515,-122.0934114
37.4145574268,-122.093508871
37.38398162,-122.08056972
37.3838528,-122.0803158
37.4117754714,-122.095372143
37.4131072,-122.1256183
37.399482725,-122.1104308
37.399482725,-122.1104308
37.399391675,-122.1102588
37.38404408,-122.0804744
37.3934983,-122.07089755
37.3977223308,-122.061404477
